Ball,Brand,Core,Coverstock,Differential,RG,Hook
Fatal Venom,Motiv,Symmetric,Pearl,0.034,2.48,217.0
Forge Flare,Motiv,Symmetric,Solid,0.055,2.47,186.00000000000003
Proton Physix,Storm,Asymmetric,Solid,0.053,2.48,189.0
Allure Solid,Ebonite,Symmetric,Solid,0.049,2.475,192.5
Decree Pearl,DV8,Symmetric,Pearl,0.043,2.53,212.99999999999997
Outlook Solid,Columbia 300,Symmetric,Solid,0.047,2.533,200.29999999999998
Warrant Solid,DV8,Asymmetric,Solid,0.054000000000000006,2.505,190.5
Idol Synergy,Roto Grip,Symmetric,Hybrid,0.052000000000000005,2.49,194.00000000000003
Ordnance C4,900 Global,Symmetric,Hybrid,0.042,2.48,203.0
RST X-1,Roto Grip,Asymmetric,Hybrid,0.053,2.53,196.99999999999997
Zen,900 Global,Symmetric,Pearl,0.051,2.49,201.00000000000003
Black Widow 2.0,Hammer,Asymmetric,Solid,0.057999999999999996,2.5,186.0
Incognito,Radical,Asymmetric,Solid,0.053,2.487,189.70000000000002
Web M.B.,Hammer,Asymmetric,Pearl,0.048,2.48,203.0
Hero Solid,Brunswick,Symmetric,Solid,0.047,2.474,194.40000000000003
Latitude Pearl,Track,Symmetric,Pearl,0.045,2.511,209.10000000000002
Strata,Track,Asymmetric,Solid,0.05,2.475,191.5
Zenith,Brunswick,Asymmetric,Solid,0.052000000000000005,2.485,190.5
Dynamic Swing,Columbia 300,Asymmetric,Hybrid,0.047,2.4819999999999998,198.2
Intimidator Pearl,DV8,Asymmetric,Pearl,0.051,2.481,200.1
Omni Hybrid,Ebonite,Asymmetric,Hybrid,0.05,2.501,197.1
Pandemonium,Radical,Symmetric,Pearl,0.053,2.487,198.70000000000002
Results Solid,Radical,Asymmetric,Solid,0.044000000000000004,2.517,201.7
VIP - ExJ,Motiv,Symmetric,Pearl,0.043,2.55,214.99999999999997
Axiom Pearl,Storm,Symmetric,Pearl,0.05,2.48,201.0
Fast Pitch,Storm,Symmetric,Urethane,0.03,2.61,237.0
Force Unleashed NEW RELEASE,Pyramid,Asymmetric,Solid,0.051,2.53,195.99999999999997
Jackal Flash,Motiv,Asymmetric,Pearl,0.054000000000000006,2.47,196.00000000000003
Pathogen X2,Pyramid,Symmetric,Hybrid,0.032,2.54,219.0
Rubicon,Roto Grip,Asymmetric,Solid,0.052000000000000005,2.49,191.00000000000003
Aero,Ebonite,Asymmetric,Solid,0.05,2.504,194.4
Authority Solid,Columbia 300,Asymmetric,Solid,0.05,2.503,194.3
Melee Jab Blood Red,Brunswick,Symmetric,Pearl,0.05,2.487,201.70000000000002
Prism Warp Hybrid,Brunswick,Asymmetric,Hybrid,0.051,2.465,192.5
Proof Pearl,Track,Asymmetric,Pearl,0.052000000000000005,2.519,202.9
Web Tour Edition Hybrid,Hammer,Symmetric,Hybrid,0.03,2.47,214.00000000000003
Afterburner Blue/Black,900 Global,Symmetric,Hybrid,0.038,2.55,213.99999999999997
Afterburner Purple/Black,900 Global,Symmetric,Hybrid,0.038,2.55,213.99999999999997
Aspect,900 Global,Symmetric,Solid,0.048,2.51,196.99999999999997
Honey Badger Revival,900 Global,Asymmetric,Hybrid,0.048,2.54,203.0
Volatility Torque,900 Global,Asymmetric,Pearl,0.05,2.49,202.00000000000003
IQ Tour Nano Pearl,Storm,Symmetric,Pearl,0.028999999999999998,2.49,223.00000000000003
MVP Attitude,Roto Grip,Symmetric,Hybrid,0.04,2.55,211.99999999999997
Parallax,Storm,Asymmetric,Hybrid,0.054000000000000006,2.52,195.0
Trend,Storm,Symmetric,Pearl,0.049,2.52,206.0
Bonus,Radical,Symmetric,Solid,0.03,2.487,212.70000000000002
Decree,DV8,Symmetric,Solid,0.043,2.53,203.99999999999997
Fugitive Solid,Hammer,Symmetric,Solid,0.052000000000000005,2.4859999999999998,190.59999999999997
Redemption Hybrid,Hammer,Asymmetric,Hybrid,0.053,2.498,193.8
Tempo,Track,Symmetric,Pearl,0.038,2.56,221.0
Verge Pearl,DV8,Symmetric,Pearl,0.049,2.476,201.6
Zing! Pearl,Radical,Asymmetric,Pearl,0.051,2.499,201.9
Beast Black/Pink/Purple Hybrid,Columbia 300,Symmetric,Hybrid,0.033,2.54,218.0
Beast Blue Pearl,Columbia 300,Symmetric,Pearl,0.033,2.54,224.0
Beast Blue/Red/Black Hybrid,Columbia 300,Symmetric,Hybrid,0.033,2.54,218.0
Beast Purple Sparkle,Columbia 300,Symmetric,Pearl,0.035,2.54,222.0
Igniter Pearl,Brunswick,Symmetric,Pearl,0.043,2.508,210.8
Igniter Solid,Brunswick,Symmetric,Solid,0.043,2.508,201.8
Stinger Hybrid,Ebonite,Symmetric,Hybrid,0.035,2.517,213.7
Stinger Pearl,Ebonite,Symmetric,Pearl,0.035,2.517,219.7
Electrify Hybrid,Storm,Symmetric,Hybrid,0.03,2.51,217.99999999999997
Electrify Pearl,Storm,Symmetric,Pearl,0.03,2.51,223.99999999999997
Hustle PBR,Roto Grip,Symmetric,Solid,0.03,2.53,216.99999999999997
Hustle RAP,Roto Grip,Symmetric,Pearl,0.03,2.53,225.99999999999997
Mix Red/Gold/Silver,Storm,Symmetric,Urethane,0.006,2.69,269.0
Mix Sky/Cobalt/Violet,Storm,Symmetric,Urethane,0.006,2.69,269.0
Tropical Surge Pink/Black,Storm,Symmetric,Pearl,0.024,2.58,237.0
Tropical Surge Yellow/Black,Storm,Symmetric,Pearl,0.024,2.58,237.0
Desert Tank,Motiv,Symmetric,Pearl,0.015,2.57,245.0
Ripcord Flight,Motiv,Symmetric,Solid,0.047,2.53,199.99999999999997
Axiom,Storm,Symmetric,Solid,0.05,2.48,192.0
Authority,Columbia 300,Asymmetric,Pearl,0.05,2.503,203.3
Flux Pearl,900 Global,Asymmetric,Pearl,0.048,2.55,209.99999999999997
Volt Solid,900 Global,Symmetric,Solid,0.047,2.56,203.0
Nuclear Cell,Roto Grip,Asymmetric,Pearl,0.055999999999999994,2.52,199.0
Omega Crux,Storm,Asymmetric,Pearl,0.051,2.5,202.0
Pitch Purple,Storm,Symmetric,Urethane,0.022000000000000002,2.57,241.0
Redemption Pearl,Hammer,Asymmetric,Pearl,0.053,2.498,199.8
Redemption Solid,Hammer,Asymmetric,Solid,0.053,2.498,190.8
Trident Nemesis,Motiv,Asymmetric,Pearl,0.049,2.52,206.0
UFO,Roto Grip,Asymmetric,Solid,0.054000000000000006,2.52,192.0
Equilibrium,900 Global,Symmetric,Hybrid,0.045,2.49,201.00000000000003
Glam,DV8,Symmetric,Pearl,0.052000000000000005,2.516,202.6
Vapor Zone Hybrid,Brunswick,Asymmetric,Hybrid,0.048,2.478,196.8
Volatility,900 Global,Asymmetric,Hybrid,0.05,2.49,196.00000000000003
Alpha Jackal,Motiv,Asymmetric,Solid,0.054000000000000006,2.47,187.00000000000003
Force Gold Pearl *International Release* Ltd Ed of 250,Pyramid,Asymmetric,Pearl,0.051,2.53,204.99999999999997
Phaze III,Storm,Symmetric,Hybrid,0.051,2.48,194.0
Honey Badger Extreme Pearl,900 Global,Asymmetric,Pearl,0.053,2.54,204.0
MVP Pearl,Roto Grip,Symmetric,Pearl,0.04,2.55,217.99999999999997
Wild Streak,Roto Grip,Symmetric,Solid,0.048,2.6,206.0
All-Road,Storm,Symmetric,Hybrid,0.046,2.57,208.0
Gravity Evolve,Storm,Asymmetric,Solid,0.052000000000000005,2.48,190.0
Enchanted Path Rising Hybrid NEW ITEM,Pyramid,Symmetric,Hybrid,0.032,2.54,219.0
Pathogen Plague Pearl Urethane Available 10-16 NEW ITEM,Pyramid,Asymmetric,Urethane,0.043,2.52,215.0
Forge Fire,Motiv,Symmetric,Hybrid,0.055,2.47,189.00000000000003
Verge 16 Only,DV8,Symmetric,Solid,0.049,2.476,192.6
After Dark Hybrid,900 Global,Symmetric,Hybrid,0.03,2.56,223.0
Curse Pearl,Pyramid,Symmetric,Pearl,0.055,2.49,197.00000000000003
Halo Vision,Roto Grip,Asymmetric,Hybrid,0.05,2.49,196.00000000000003
Idol Pro,Roto Grip,Symmetric,Solid,0.052000000000000005,2.49,191.00000000000003
MVP,Roto Grip,Symmetric,Hybrid,0.04,2.55,211.99999999999997
Hero 16 Only,Brunswick,Symmetric,Pearl,0.047,2.474,203.40000000000003
Night Prowler 13 14 15 16 Only,DV8,Asymmetric,Pearl,0.044000000000000004,2.474,206.40000000000003
Vintage Vapor Zone Solid 12 13 14 15 16,Brunswick,Asymmetric,Solid,0.048,2.478,193.8
Pro-Motion,Storm,Symmetric,Solid,0.049,2.52,197.0
"Pathogen X ATK ""International Release"" Ltd Ed of 250",Pyramid,Symmetric,Pearl,0.032,2.54,225.0
"Blood Moon Infinity ""International Release"" Ltd Ed of 250",Pyramid,Asymmetric,Hybrid,0.039,2.48,206.0
Ordnance,900 Global,Symmetric,Solid,0.043,2.47,198.00000000000003
Chaos Black,Columbia 300,Symmetric,Solid,0.054000000000000006,2.48,188.0
Futura,Ebonite,Symmetric,Hybrid,0.053,2.48,192.0
Heat Lava,Track,Symmetric,Pearl,0.038,2.5,215.0
Instigator 12 14 15 16 Only,DV8,Asymmetric,Solid,0.051,2.481,191.1
Poison Pearl 13 15 16 Only,DV8,Symmetric,Pearl,0.054000000000000006,2.5639999999999996,205.39999999999998
Counter Attack Pearl,Radical,Symmetric,Pearl,0.023,2.562,236.2
