Ball,Brand,Core,Coverstock,Differential,RG,Hook
After Dark Hybrid,900 Global,Symmetric,Hybrid,0.03,2.56,223
After Dark Pearl,900 Global,Symmetric,Pearl,0.03,2.56,229
Afterburner Blue/Black,900 Global,Symmetric,Hybrid,0.038,2.55,214
Afterburner Purple/Black,900 Global,Symmetric,Hybrid,0.038,2.55,214
Aspect,900 Global,Symmetric,Solid,0.048,2.51,197
Boost Blue/Black Hybrid,900 Global,Symmetric,Hybrid,0.043,2.54,208
Equilibrium,900 Global,Symmetric,Hybrid,0.045,2.49,201
Flux Pearl,900 Global,Asymmetric,Pearl,0.048,2.55,210
Honey Badger Extreme Pearl,900 Global,Asymmetric,Pearl,0.053,2.54,204
Honey Badger Revival,900 Global,Asymmetric,Hybrid,0.048,2.54,203
Ordnance,900 Global,Symmetric,Solid,0.043,2.47,198
Ordnance C4,900 Global,Symmetric,Hybrid,0.042,2.48,203
Reality,900 Global,Asymmetric,Solid,0.052,2.49,191
Volatility,900 Global,Asymmetric,Hybrid,0.05,2.49,196
Volatility Torque,900 Global,Asymmetric,Pearl,0.05,2.49,202
Volt Solid,900 Global,Symmetric,Solid,0.047,2.56,203
Zen,900 Global,Symmetric,Pearl,0.051,2.49,201
Cutting Edge Pearl,Brunswick,Symmetric,Pearl,0.039,2.521,216.1
Hero,Brunswick,Symmetric,Pearl,0.047,2.474,203.4
Hero Solid,Brunswick,Symmetric,Solid,0.047,2.474,194.4
Igniter Pearl,Brunswick,Symmetric,Pearl,0.043,2.508,210.8
Igniter Solid,Brunswick,Symmetric,Solid,0.043,2.508,201.8
Knock Out,Brunswick,Symmetric,Solid,0.05,2.487,192.7
Melee Jab Blood Red,Brunswick,Symmetric,Pearl,0.05,2.487,201.7
Prism Warp Hybrid,Brunswick,Asymmetric,Hybrid,0.051,2.465,192.5
Rhino Black/Green/Orange Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Rhino Charcoal/Silver/Violet Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Rhino Cobalt/Aqua/Teal Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Rhino Metallic Blue/Black Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Rhino Purple/Pink/White Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Rhino Red/Black/Gold Pearl,Brunswick,Symmetric,Pearl,0.03,2.524,225.4
Twist Black/Gold/Silver,Brunswick,Symmetric,Pearl,0.018,2.591,244.1
Twist Blue/Silver,Brunswick,Symmetric,Pearl,0.018,2.591,244.1
Twist Neon Green/Black,Brunswick,Symmetric,Pearl,0.018,2.591,244.1
Twist Red/Purple,Brunswick,Symmetric,Pearl,0.018,2.591,244.1
Twist Red/White/Blue,Brunswick,Symmetric,Pearl,0.018,2.591,244.1
Twist Sky Blue/Pink/Snow,Brunswick,Symmetric,Pearl,0.018,2.591,244.1
Vapor Zone Hybrid,Brunswick,Asymmetric,Hybrid,0.048,2.478,196.8
Vintage Vapor Zone Solid,Brunswick,Asymmetric,Solid,0.048,2.478,193.8
Zenith,Brunswick,Asymmetric,Solid,0.052,2.485,190.5
Zenith Pearl,Brunswick,Asymmetric,Pearl,0.052,2.485,199.5
Authority,Columbia 300,Asymmetric,Pearl,0.05,2.503,203.3
Authority Solid,Columbia 300,Asymmetric,Solid,0.05,2.503,194.3
Beast Black/Pink/Purple Hybrid,Columbia 300,Symmetric,Hybrid,0.033,2.54,218
Beast Blue Pearl,Columbia 300,Symmetric,Pearl,0.033,2.54,224
Beast Blue/Red/Black Hybrid,Columbia 300,Symmetric,Hybrid,0.033,2.54,218
Beast Purple Sparkle,Columbia 300,Symmetric,Pearl,0.035,2.54,222
Chaos Black,Columbia 300,Symmetric,Solid,0.054,2.48,188
Command,Columbia 300,Asymmetric,Pearl,0.053,2.513,201.3
Dynamic Swing,Columbia 300,Asymmetric,Hybrid,0.047,2.482,198.2
Dynamic Swing Pearl,Columbia 300,Asymmetric,Pearl,0.047,2.482,204.2
Outlook Solid,Columbia 300,Symmetric,Solid,0.047,2.533,200.3
Saber Pearl,Columbia 300,Asymmetric,Pearl,0.054,2.5,199
Damn Good Verge,DV8,Symmetric,Solid,0.037,2.467,203.7
Decree,DV8,Symmetric,Solid,0.043,2.53,204
Decree Pearl,DV8,Symmetric,Pearl,0.043,2.53,213
Glam,DV8,Symmetric,Pearl,0.052,2.516,202.6
Hell Raiser Return,DV8,Asymmetric,Pearl,0.053,2.537,203.7
Instigator,DV8,Asymmetric,Solid,0.051,2.481,191.1
Intimidator Pearl,DV8,Asymmetric,Pearl,0.051,2.481,200.1
Night Prowler,DV8,Asymmetric,Pearl,0.044,2.474,206.4
Poison Pearl,DV8,Symmetric,Pearl,0.054,2.564,205.4
Tactic Control,DV8,Symmetric,Urethane,0.042,2.528,216.8
Turmoil 2 Pearl,DV8,Symmetric,Pearl,0.043,2.53,213
Turmoil 2 Solid,DV8,Symmetric,Solid,0.043,2.528,203.8
Turmoil Solid,DV8,Symmetric,Solid,0.042,2.528,204.8
Verge,DV8,Symmetric,Solid,0.049,2.476,192.6
Verge Pearl,DV8,Symmetric,Pearl,0.049,2.476,201.6
Warrant Solid,DV8,Asymmetric,Solid,0.054,2.505,190.5
Aero,Ebonite,Asymmetric,Solid,0.05,2.504,194.4
Aero Dynamix,Ebonite,Asymmetric,Hybrid,0.05,2.504,197.4
Allure Solid,Ebonite,Symmetric,Solid,0.049,2.475,192.5
Choice Pearl,Ebonite,Asymmetric,Pearl,0.054,2.49,198
Choice Red/Gold/Blue -,Ebonite,Asymmetric,Hybrid,0.054,2.49,192
Destiny Pearl Black/Red/Blue,Ebonite,Symmetric,Pearl,0.053,2.53,203
Destiny Solid Magenta,Ebonite,Symmetric,Solid,0.053,2.53,194
Futura,Ebonite,Symmetric,Hybrid,0.053,2.48,192
Game Breaker 4,Ebonite,Symmetric,Solid,0.048,2.48,194
Omni Hybrid,Ebonite,Asymmetric,Hybrid,0.05,2.501,197.1
Pivot Assault -,Ebonite,Asymmetric,Solid,0.049,2.48,193
Stinger Hybrid,Ebonite,Symmetric,Hybrid,0.035,2.517,213.7
Stinger Pearl,Ebonite,Symmetric,Pearl,0.035,2.517,219.7
The Real One,Ebonite,Symmetric,Hybrid,0.056,2.46,187
Black Widow 2.0,Hammer,Asymmetric,Solid,0.058,2.5,186
Fugitive Solid,Hammer,Symmetric,Solid,0.052,2.486,190.6
Obsession,Hammer,Asymmetric,Solid,0.05,2.468,190.8
Obsession Tour,Hammer,Asymmetric,Solid,0.034,2.469,206.9
Redemption Hybrid,Hammer,Asymmetric,Hybrid,0.053,2.498,193.8
Redemption Pearl,Hammer,Asymmetric,Pearl,0.053,2.498,199.8
Redemption Solid,Hammer,Asymmetric,Solid,0.053,2.498,190.8
Rip'd Pearl,Hammer,Asymmetric,Pearl,0.054,2.48,197
The Sauce,Hammer,Symmetric,Solid,0.049,2.47,192
The Sauce 10,Hammer,Symmetric,Solid,0.049,2.47,192
Vibe Orange,Hammer,Symmetric,Solid,0.042,2.51,203
Web M.B.,Hammer,Asymmetric,Pearl,0.048,2.48,203
Web Tour Hybrid,Hammer,Symmetric,Hybrid,0.03,2.47,214
Allegiant Sniper,Motiv,Symmetric,,0.01,2.68,264
Alpha Jackal,Motiv,Asymmetric,Solid,0.054,2.47,187
Desert Tank,Motiv,Symmetric,Pearl,0.015,2.57,245
Fatal Venom,Motiv,Symmetric,Pearl,0.034,2.48,217
Forge Fire,Motiv,Symmetric,Hybrid,0.055,2.47,189
Forge Flare,Motiv,Symmetric,Solid,0.055,2.47,186
Jackal Flash,Motiv,Asymmetric,Pearl,0.054,2.47,196
Jackal Legacy,Motiv,Asymmetric,Solid,0.054,2.47,187
Primal Rage 5-Year Anniversary LE,Motiv,Symmetric,Pearl,0.05,2.55,208
Primal Rage 5-Year Anniversary LE -,Motiv,Symmetric,Pearl,0.05,2.55,208
Purple Tank,Motiv,Symmetric,Urethane,0.015,2.57,248
Ripcord Flight,Motiv,Symmetric,Solid,0.047,2.53,200
Trident Horizon,Motiv,Asymmetric,Hybrid,0.049,2.52,200
Trident Nemesis,Motiv,Asymmetric,Pearl,0.049,2.52,206
Villain Scorn,Motiv,Asymmetric,Pearl,0.051,2.54,206
Villain Scorn 5,Motiv,Asymmetric,Pearl,0.051,2.54,206
VIP - ExJ,Motiv,Symmetric,Pearl,0.043,2.55,215
Bonus,Radical,Symmetric,Solid,0.03,2.487,212.7
Bonus Pearl,Radical,Symmetric,Pearl,0.03,2.487,221.7
Counter Attack Pearl,Radical,Symmetric,Pearl,0.023,2.562,236.2
Counter Attack Solid,Radical,Symmetric,Solid,0.023,2.562,227.2
Incognito,Radical,Asymmetric,Solid,0.053,2.487,189.7
Incognito Pearl,Radical,Asymmetric,Pearl,0.053,2.487,198.7
Pandemonium,Radical,Symmetric,Pearl,0.053,2.487,198.7
Pandemonium Solid,Radical,Symmetric,Solid,0.053,2.487,189.7
Results Plus,Radical,Asymmetric,Pearl,0.044,2.517,210.7
Results Solid,Radical,Asymmetric,Solid,0.044,2.517,201.7
Zing! Pearl,Radical,Asymmetric,Pearl,0.051,2.499,201.9
Halo Vision,Roto Grip,Asymmetric,Hybrid,0.05,2.49,196
Hustle Au,Roto Grip,Symmetric,Pearl,0.03,2.53,226
Hustle INK Solid,Roto Grip,Symmetric,Solid,0.03,2.53,217
Hustle PBR,Roto Grip,Symmetric,Solid,0.03,2.53,217
Hustle RAP,Roto Grip,Symmetric,Pearl,0.03,2.53,226
Idol Pearl,Roto Grip,Symmetric,Pearl,0.052,2.49,200
Idol Pro,Roto Grip,Symmetric,Solid,0.052,2.49,191
Idol Synergy,Roto Grip,Symmetric,Hybrid,0.052,2.49,194
MVP,Roto Grip,Symmetric,Hybrid,0.04,2.55,212
MVP Attitude,Roto Grip,Symmetric,Hybrid,0.04,2.55,212
MVP Pearl,Roto Grip,Symmetric,Pearl,0.04,2.55,218
Nuclear Cell,Roto Grip,Asymmetric,Pearl,0.056,2.52,199
RST X-1,Roto Grip,Asymmetric,Hybrid,0.053,2.53,197
Rubicon,Roto Grip,Asymmetric,Solid,0.052,2.49,191
Rubicon UC2,Roto Grip,Asymmetric,Pearl,0.052,2.49,200
Squad RG Clear Polyester,Roto Grip,Symmetric,,0.006,2.69,269
UFO,Roto Grip,Asymmetric,Solid,0.054,2.52,192
Wild Streak,Roto Grip,Symmetric,Solid,0.048,2.6,206
All-Road,Storm,Symmetric,Hybrid,0.046,2.57,208
Axiom,Storm,Symmetric,Solid,0.05,2.48,192
Axiom Pearl,Storm,Symmetric,Pearl,0.05,2.48,201
Clear Storm Electric Blue,Storm,Symmetric,,0.006,2.69,269
Electrify Hybrid,Storm,Symmetric,Hybrid,0.03,2.51,218
Electrify Pearl,Storm,Symmetric,Pearl,0.03,2.51,224
Fast Pitch,Storm,Symmetric,Urethane,0.03,2.61,237
Gravity Evolve,Storm,Asymmetric,Solid,0.052,2.48,190
Hy-Road,Storm,Symmetric,Hybrid,0.046,2.57,208
